ban1,ban2,ban3,ban4,paddy
1128,1153,762,3199,1
1116,1106,711,3222,1
1214,1173,1013,1498,1
1091,1115,716,3034,1
1090,1093,670,2975,1
1172,1079,925,1311,1
1154,1068,833,1865,1
1086,1105,689,2515,1
1096,1103,704,2473,1
1092,1081,688,2656,1
1144,1069,892,1296,1
1121,1047,792,1907,1
1088,1065,682,2614,1
1094,1108,713,2317,1
1102,1104,714,2262,1
1087,1072,688,2421,1
1089,1087,678,2660,1
1112,1059,784,1750,1
1112,1059,784,1750,1
1115,1084,743,2235,1
1082,1087,681,2358,1
1098,1103,718,2236,1
1097,1104,713,2244,1
1087,1083,705,2297,1
1093,1093,686,2386,1
1095,1016,751,1685,1
1087,1067,730,1803,1
1087,1067,730,1803,1
1119,1110,736,2069,1
1104,1090,717,2120,1
1096,1087,714,2162,1
1091,1096,710,2249,1
1087,1085,707,2328,1
1101,1091,703,2320,1
1109,1098,709,2258,1
1087,1052,662,2459,1
1096,1077,703,2060,1
1096,1079,703,2186,1
1096,1079,703,2186,1
1096,1096,700,2316,1
1114,1098,712,2179,1
1089,1076,707,2194,1
1111,1088,698,2262,1
1092,1107,691,2344,1
1083,1101,697,2432,1
1083,1099,693,2520,1
1083,1079,674,2632,1
1069,1042,628,3089,1
1073,1062,642,2756,1
1085,1076,697,2257,1
1104,1083,697,2123,1
1104,1083,697,2123,1
1105,1099,693,2200,1
1101,1099,710,2169,1
1098,1102,713,2228,1
1092,1107,693,2390,1
1087,1094,678,2429,1
1087,1078,669,2576,1
1099,1078,684,2600,1
1084,1076,682,2528,1
1071,1036,646,2652,1
1058,1047,620,2923,1
1069,1066,644,2772,1
1082,1060,684,2335,1
1088,1073,706,2061,1
1088,1073,706,2061,1
1098,1087,724,2058,1
1081,1092,727,2085,1
1109,1107,736,2169,1
1087,1083,695,2427,1
1095,1072,674,2657,1
1084,1057,658,2754,1
1086,1073,663,2635,1
1094,1092,690,2463,1
1087,1089,687,2367,1
1071,1036,646,2652,1
1058,1047,620,2923,1
1069,1066,644,2772,1
1082,1060,684,2335,1
1088,1073,706,2061,1
1088,1073,706,2061,1
1098,1087,724,2058,1
1081,1092,727,2085,1
1109,1107,736,2169,1
1087,1083,695,2427,1
1095,1072,674,2657,1
1084,1057,658,2754,1
1086,1073,663,2635,1
1094,1092,690,2463,1
1087,1089,687,2367,1
1087,1089,687,2367,1
1077,1043,638,2620,1
1086,1032,622,2736,1
1082,1061,631,2707,1
1079,1066,642,2683,1
1082,1075,668,2386,1
1082,1080,698,2094,1
1082,1080,698,2094,1
1105,1089,723,1959,1
1091,1096,730,1946,1
1095,1097,740,2052,1
1111,1091,719,2441,1
1082,1075,659,2761,1
1078,1063,650,2611,1
1076,1073,659,2548,1
1090,1094,670,2494,1
1090,1088,681,2354,1
1090,1088,681,2354,1
1078,1044,656,2370,1
1071,1050,627,2488,1
1066,1039,630,2688,1
1066,1052,631,2742,1
1070,1064,639,2599,1
1081,1070,661,2388,1
1081,1063,680,2163,1
1081,1063,680,2163,1
1095,1092,718,1990,1
1101,1089,732,1897,1
1099,1093,722,2086,1
1104,1073,728,2128,1
1087,1075,670,2453,1
1079,1082,658,2544,1
1078,1056,647,2383,1
1092,1064,638,2506,1
1092,1080,670,2514,1
1092,1080,670,2514,1
1089,1087,699,2355,1
1084,1002,762,1894,1
1079,1039,640,2444,1
1083,1049,626,2411,1
1063,1055,635,2658,1
1075,1054,628,2814,1
1085,1052,632,2575,1
1081,1064,653,2391,1
1081,1059,667,2244,1
1081,1059,667,2244,1
1096,1076,712,2077,1
1091,1086,720,1948,1
1096,1109,710,2178,1
1096,1078,719,2099,1
1103,1094,713,2195,1
1087,1086,684,2423,1
1082,1054,669,2310,1
1090,1057,652,2524,1
1094,1087,660,2648,1
1094,1087,660,2648,1
1086,1085,688,2435,1
1097,1111,711,2447,1
1092,1041,763,2272,1
1075,1012,686,2324,1
