,ban1,ban2,ban3,ban4,paddy
0,1128,1153,762,3199,1
1,1116,1106,711,3222,1
2,1214,1173,1013,1498,1
3,1091,1115,716,3034,1
4,1090,1093,670,2975,1
5,1172,1079,925,1311,1
6,1154,1068,833,1865,1
7,1086,1105,689,2515,1
8,1096,1103,704,2473,1
9,1092,1081,688,2656,1
10,1144,1069,892,1296,1
11,1121,1047,792,1907,1
12,1088,1065,682,2614,1
13,1094,1108,713,2317,1
14,1102,1104,714,2262,1
15,1087,1072,688,2421,1
16,1089,1087,678,2660,1
17,1112,1059,784,1750,1
18,1112,1059,784,1750,1
19,1115,1084,743,2235,1
20,1082,1087,681,2358,1
21,1098,1103,718,2236,1
22,1097,1104,713,2244,1
23,1087,1083,705,2297,1
24,1093,1093,686,2386,1
25,1095,1016,751,1685,1
26,1087,1067,730,1803,1
27,1087,1067,730,1803,1
28,1119,1110,736,2069,1
29,1104,1090,717,2120,1
30,1096,1087,714,2162,1
31,1091,1096,710,2249,1
32,1087,1085,707,2328,1
33,1101,1091,703,2320,1
34,1109,1098,709,2258,1
35,1087,1052,662,2459,1
36,1096,1077,703,2060,1
37,1096,1079,703,2186,1
38,1096,1079,703,2186,1
39,1096,1096,700,2316,1
40,1114,1098,712,2179,1
41,1089,1076,707,2194,1
42,1111,1088,698,2262,1
43,1092,1107,691,2344,1
44,1083,1101,697,2432,1
45,1083,1099,693,2520,1
46,1083,1079,674,2632,1
47,1069,1042,628,3089,1
48,1073,1062,642,2756,1
49,1085,1076,697,2257,1
50,1104,1083,697,2123,1
51,1104,1083,697,2123,1
52,1105,1099,693,2200,1
53,1101,1099,710,2169,1
54,1098,1102,713,2228,1
55,1092,1107,693,2390,1
56,1087,1094,678,2429,1
57,1087,1078,669,2576,1
58,1099,1078,684,2600,1
59,1084,1076,682,2528,1
60,1071,1036,646,2652,1
61,1058,1047,620,2923,1
62,1069,1066,644,2772,1
63,1082,1060,684,2335,1
64,1088,1073,706,2061,1
65,1088,1073,706,2061,1
66,1098,1087,724,2058,1
67,1081,1092,727,2085,1
68,1109,1107,736,2169,1
69,1087,1083,695,2427,1
70,1095,1072,674,2657,1
71,1084,1057,658,2754,1
72,1086,1073,663,2635,1
73,1094,1092,690,2463,1
74,1087,1089,687,2367,1
75,1071,1036,646,2652,1
76,1058,1047,620,2923,1
77,1069,1066,644,2772,1
78,1082,1060,684,2335,1
79,1088,1073,706,2061,1
80,1088,1073,706,2061,1
81,1098,1087,724,2058,1
82,1081,1092,727,2085,1
83,1109,1107,736,2169,1
84,1087,1083,695,2427,1
85,1095,1072,674,2657,1
86,1084,1057,658,2754,1
87,1086,1073,663,2635,1
88,1094,1092,690,2463,1
89,1087,1089,687,2367,1
90,1087,1089,687,2367,1
91,1077,1043,638,2620,1
92,1086,1032,622,2736,1
